Time,4518-PE,4518-NoPe,4520-PE,4520-NoPe,4524-PE,4524-NoPe,4529-PE,4529-NoPe,4537-PE,4537-NoPe,4538-PE,4538-NoPe,4518-PE,4518-NoPe,4545-PE,4545-NoPe,4548-PE,4548-NoPe,4553-PE,4553-NoPe,Sigma-PE,Sigma-NoPe,FYDip-PE,FYDip-NoPe
0:15:00,0.1086666667,0.1146666667,0.109,0.1116666667,0.105,0.1163333333,0.1083333333,0.12,0.106,0.1093333333,0.1073333333,0.1123333333,0.106,0.112,0.1126666667,0.1136666667,0.11,0.1123333333,0.1106666667,0.15,0.109,0.111,0.1113333333,0.109
0:30:00,0.111,0.1153333333,0.1106666667,0.1096666667,0.1076666667,0.1136666667,0.1106666667,0.1253333333,0.1066666667,0.1076666667,0.1086666667,0.1123333333,0.108,0.1133333333,0.1163333333,0.1153333333,0.1126666667,0.1143333333,0.116,0.184,0.1096666667,0.1096666667,0.1123333333,0.1096666667
0:45:00,0.114,0.119,0.113,0.1103333333,0.11,0.1166666667,0.1146666667,0.1366666667,0.1073333333,0.1083333333,0.1116666667,0.115,0.1106666667,0.1173333333,0.1213333333,0.1196666667,0.116,0.12,0.123,0.2066666667,0.111,0.1106666667,0.1146666667,0.1116666667
1:00:00,0.117,0.1253333333,0.1146666667,0.1113333333,0.1133333333,0.121,0.119,0.149,0.109,0.1093333333,0.1156666667,0.119,0.114,0.1226666667,0.126,0.1253333333,0.1196666667,0.127,0.1306666667,0.2253333333,0.1116666667,0.1133333333,0.118,0.114
1:15:00,0.1216666667,0.1326666667,0.117,0.113,0.117,0.127,0.1246666667,0.1643333333,0.11,0.1106666667,0.12,0.1236666667,0.118,0.1303333333,0.132,0.1313333333,0.1246666667,0.1353333333,0.145,0.2433333333,0.1123333333,0.116,0.1206666667,0.1166666667
1:30:00,0.1266666667,0.1433333333,0.1186666667,0.1156666667,0.1206666667,0.1333333333,0.131,0.1823333333,0.1116666667,0.1126666667,0.1253333333,0.131,0.123,0.1416666667,0.1403333333,0.1393333333,0.1296666667,0.1456666667,0.157,0.2626666667,0.1143333333,0.1196666667,0.124,0.1203333333
1:45:00,0.133,0.154,0.1213333333,0.1183333333,0.126,0.1416666667,0.1396666667,0.2023333333,0.1136666667,0.115,0.1326666667,0.141,0.1296666667,0.1586666667,0.1496666667,0.1476666667,0.1346666667,0.1573333333,0.1713333333,0.28,0.1153333333,0.123,0.1276666667,0.1253333333
2:00:00,0.1393333333,0.1663333333,0.124,0.1213333333,0.1316666667,0.1493333333,0.1486666667,0.221,0.116,0.118,0.1416666667,0.1526666667,0.138,0.175,0.159,0.158,0.1406666667,0.1706666667,0.182,0.3016666667,0.117,0.1276666667,0.1323333333,0.13
2:15:00,0.1463333333,0.1826666667,0.1276666667,0.124,0.1383333333,0.1593333333,0.1586666667,0.2416666667,0.1176666667,0.12,0.1523333333,0.164,0.148,0.1946666667,0.1706666667,0.1683333333,0.1476666667,0.1833333333,0.1906666667,0.316,0.1183333333,0.1326666667,0.138,0.1356666667
2:30:00,0.1546666667,0.2053333333,0.1306666667,0.128,0.145,0.167,0.169,0.2616666667,0.1203333333,0.1233333333,0.1643333333,0.181,0.159,0.2193333333,0.1816666667,0.1786666667,0.156,0.1983333333,0.2016666667,0.3333333333,0.1196666667,0.139,0.1436666667,0.142
2:45:00,0.1653333333,0.2316666667,0.134,0.1323333333,0.1516666667,0.176,0.1816666667,0.2893333333,0.123,0.1273333333,0.1813333333,0.205,0.1733333333,0.2496666667,0.193,0.1896666667,0.1646666667,0.2126666667,0.213,0.3533333333,0.1223333333,0.1463333333,0.151,0.15
3:00:00,0.1793333333,0.2626666667,0.1386666667,0.1376666667,0.1586666667,0.185,0.1966666667,0.3163333333,0.1256666667,0.1326666667,0.2043333333,0.2333333333,0.1933333333,0.2816666667,0.205,0.2006666667,0.1746666667,0.2326666667,0.2266666667,0.3806666667,0.125,0.1543333333,0.1596666667,0.16
3:15:00,0.194,0.2983333333,0.1433333333,0.143,0.1663333333,0.196,0.2133333333,0.3463333333,0.1296666667,0.1373333333,0.2303333333,0.27,0.2176666667,0.315,0.214,0.2133333333,0.1873333333,0.254,0.242,0.4083333333,0.128,0.164,0.1706666667,0.1716666667
3:30:00,0.2146666667,0.3406666667,0.1483333333,0.15,0.1756666667,0.207,0.2313333333,0.376,0.134,0.144,0.2656666667,0.3126666667,0.2403333333,0.3473333333,0.2276666667,0.2276666667,0.2013333333,0.28,0.2563333333,0.4416666667,0.1316666667,0.175,0.184,0.1853333333
3:45:00,0.2366666667,0.388,0.1556666667,0.1573333333,0.1853333333,0.2216666667,0.2513333333,0.412,0.1396666667,0.1503333333,0.307,0.3503333333,0.2706666667,0.379,0.2403333333,0.2426666667,0.219,0.3036666667,0.2723333333,0.467,0.1353333333,0.188,0.201,0.2026666667
4:00:00,0.269,0.4303333333,0.1623333333,0.1663333333,0.1963333333,0.2353333333,0.275,0.4463333333,0.1453333333,0.1593333333,0.3553333333,0.3833333333,0.293,0.4143333333,0.257,0.2576666667,0.2386666667,0.3296666667,0.2893333333,0.5033333333,0.1406666667,0.203,0.218,0.2216666667
4:15:00,0.3066666667,0.474,0.1706666667,0.1766666667,0.208,0.2513333333,0.3016666667,0.4866666667,0.153,0.1693333333,0.395,0.4163333333,0.326,0.4486666667,0.272,0.2733333333,0.2593333333,0.3573333333,0.3086666667,0.5376666667,0.146,0.22,0.238,0.243
4:30:00,0.3446666667,0.518,0.18,0.1883333333,0.2196666667,0.2696666667,0.3293333333,0.521,0.161,0.1823333333,0.446,0.4456666667,0.363,0.488,0.2876666667,0.2933333333,0.2816666667,0.3903333333,0.328,0.5786666667,0.1526666667,0.2383333333,0.265,0.271
4:45:00,0.3823333333,0.564,0.191,0.2006666667,0.2343333333,0.2886666667,0.3553333333,0.5553333333,0.1696666667,0.196,0.4913333333,0.472,0.39,0.5176666667,0.3083333333,0.3126666667,0.306,0.4233333333,0.352,0.613,0.1603333333,0.2606666667,0.2926666667,0.3003333333
5:00:00,0.426,0.6116666667,0.2036666667,0.216,0.2496666667,0.31,0.3853333333,0.5966666667,0.181,0.21,0.5326666667,0.495,0.4266666667,0.552,0.3276666667,0.3323333333,0.3326666667,0.453,0.378,0.6516666667,0.169,0.2863333333,0.3263333333,0.332
5:15:00,0.4786666667,0.6563333333,0.2176666667,0.2333333333,0.2673333333,0.332,0.417,0.6356666667,0.196,0.2303333333,0.5613333333,0.5206666667,0.4603333333,0.584,0.353,0.351,0.361,0.4863333333,0.402,0.688,0.1803333333,0.309,0.358,0.3693333333
5:30:00,0.5283333333,0.7043333333,0.2343333333,0.251,0.284,0.3543333333,0.458,0.673,0.2086666667,0.2513333333,0.5993333333,0.5603333333,0.494,0.6173333333,0.375,0.3743333333,0.388,0.518,0.428,0.7183333333,0.1926666667,0.3326666667,0.3986666667,0.411
5:45:00,0.5836666667,0.7566666667,0.251,0.2723333333,0.3033333333,0.3796666667,0.4846666667,0.7073333333,0.2283333333,0.273,0.6273333333,0.6103333333,0.5256666667,0.651,0.4043333333,0.3953333333,0.4166666667,0.549,0.4603333333,0.757,0.2073333333,0.3663333333,0.441,0.4576666667
6:00:00,0.641,0.813,0.271,0.295,0.323,0.4003333333,0.5136666667,0.7376666667,0.2486666667,0.302,0.6706666667,0.657,0.5636666667,0.681,0.4273333333,0.418,0.4456666667,0.5763333333,0.4873333333,0.7953333333,0.224,0.3923333333,0.4896666667,0.5056666667
6:15:00,0.707,0.8666666667,0.293,0.3206666667,0.3456666667,0.426,0.5433333333,0.7663333333,0.2706666667,0.3306666667,0.7136666667,0.7043333333,0.5903333333,0.7123333333,0.4556666667,0.4376666667,0.474,0.606,0.519,0.8303333333,0.2456666667,0.422,0.5373333333,0.554
6:30:00,0.772,0.918,0.3156666667,0.35,0.3593333333,0.4493333333,0.5766666667,0.8003333333,0.2913333333,0.363,0.771,0.762,0.62,0.7406666667,0.484,0.4603333333,0.503,0.6306666667,0.5476666667,0.8683333333,0.2706666667,0.4573333333,0.5923333333,0.6116666667
6:45:00,0.845,0.9706666667,0.3413333333,0.379,0.3833333333,0.4713333333,0.604,0.8316666667,0.322,0.405,0.8146666667,0.814,0.6496666667,0.769,0.517,0.485,0.5276666667,0.6556666667,0.581,0.9016666667,0.298,0.4823333333,0.6503333333,0.6706666667
7:00:00,0.9073333333,1.03,0.3716666667,0.4133333333,0.4,0.4896666667,0.6383333333,0.8563333333,0.3516666667,0.4443333333,0.8743333333,0.8793333333,0.6946666667,0.8066666667,0.5423333333,0.5066666667,0.553,0.6806666667,0.6173333333,0.9363333333,0.3243333333,0.516,0.7056666667,0.7263333333
7:15:00,0.977,1.087,0.4023333333,0.447,0.4156666667,0.508,0.6666666667,0.8876666667,0.3856666667,0.489,0.939,0.9386666667,0.7236666667,0.838,0.5703333333,0.532,0.583,0.701,0.6506666667,0.9583333333,0.3513333333,0.5433333333,0.7683333333,0.7853333333
7:30:00,1.044666667,1.142333333,0.4343333333,0.4886666667,0.438,0.5243333333,0.6916666667,0.9146666667,0.4286666667,0.5333333333,0.9916666667,0.9963333333,0.751,0.8656666667,0.602,0.5513333333,0.6073333333,0.7226666667,0.683,0.9956666667,0.3803333333,0.5796666667,0.8273333333,0.844
7:45:00,1.103,1.191666667,0.4753333333,0.5286666667,0.4526666667,0.542,0.733,0.9466666667,0.4646666667,0.5876666667,1.048333333,1.065,0.8046666667,0.9026666667,0.621,0.576,0.6316666667,0.7476666667,0.7173333333,1.012,0.4066666667,0.6063333333,0.884,0.9046666667
8:00:00,1.163666667,1.24,0.5123333333,0.573,0.472,0.562,0.7643333333,0.98,0.512,0.6443333333,1.098,1.118,0.837,0.9346666667,0.655,0.6,0.6556666667,0.7623333333,0.7486666667,1.043333333,0.435,0.6356666667,0.9476666667,0.9566666667
8:15:00,1.218666667,1.28,0.555,0.6203333333,0.49,0.576,0.8036666667,1.015333333,0.5546666667,0.701,1.162,1.177333333,0.8716666667,0.97,0.689,0.6246666667,0.6843333333,0.7886666667,0.78,1.076,0.4666666667,0.6663333333,1.013,1.009666667
8:30:00,1.270666667,1.320333333,0.6003333333,0.6653333333,0.5126666667,0.5936666667,0.8406666667,1.050666667,0.6106666667,0.7533333333,1.204,1.227333333,0.9153333333,1.000333333,0.7146666667,0.65,0.7096666667,0.809,0.805,1.098,0.4986666667,0.698,1.075,1.066
8:45:00,1.332333333,1.359333333,0.647,0.718,0.5283333333,0.6093333333,0.8813333333,1.093,0.658,0.8126666667,1.259,1.278,0.9553333333,1.038666667,0.739,0.6736666667,0.739,0.828,0.831,1.128333333,0.534,0.725,1.138333333,1.115
9:00:00,1.379333333,1.395666667,0.6913333333,0.774,0.552,0.624,0.9113333333,1.130333333,0.7153333333,0.8773333333,1.309,1.320666667,0.9893333333,1.074333333,0.768,0.7023333333,0.7673333333,0.8496666667,0.862,1.159666667,0.564,0.7473333333,1.188333333,1.158666667
9:15:00,1.421333333,1.430333333,0.748,0.826,0.5713333333,0.64,0.9596666667,1.170666667,0.7716666667,0.938,1.345,1.363666667,1.035666667,1.107,0.8006666667,0.729,0.7976666667,0.8756666667,0.888,1.180333333,0.594,0.7746666667,1.240666667,1.207666667
9:30:00,1.463333333,1.463666667,0.7963333333,0.881,0.5966666667,0.6603333333,0.9946666667,1.206666667,0.8313333333,0.9943333333,1.393666667,1.415,1.067,1.133333333,0.828,0.757,0.829,0.898,0.9206666667,1.214333333,0.6273333333,0.8066666667,1.293,1.248
9:45:00,1.497,1.495,0.854,0.938,0.6123333333,0.683,1.046666667,1.241666667,0.8886666667,1.06,1.418666667,1.438666667,1.118333333,1.162666667,0.855,0.7843333333,0.8636666667,0.921,0.9493333333,1.249333333,0.656,0.8233333333,1.355,1.291
10:00:00,1.523333333,1.521,0.9083333333,0.994,0.6386666667,0.7026666667,1.089333333,1.276333333,0.944,1.110333333,1.447666667,1.466333333,1.137666667,1.199333333,0.89,0.8113333333,0.896,0.9456666667,0.981,1.282666667,0.695,0.8613333333,1.388,1.328
10:15:00,1.548666667,1.535666667,0.9593333333,1.050333333,0.6646666667,0.724,1.133666667,1.311,0.9996666667,1.161,1.470333333,1.486,1.168666667,1.223333333,0.919,0.84,0.9243333333,0.973,1.015333333,1.312333333,0.7243333333,0.8876666667,1.409333333,1.360333333
10:30:00,1.557333333,1.551333333,1.019,1.105666667,0.684,0.7493333333,1.182333333,1.344333333,1.049666667,1.221666667,1.482333333,1.498666667,1.221666667,1.252333333,0.9413333333,0.8666666667,0.9553333333,0.997,1.05,1.349666667,0.7616666667,0.915,1.434,1.398666667
10:45:00,1.563333333,1.563333333,1.074,1.159666667,0.71,0.7756666667,1.213,1.379,1.107666667,1.270666667,1.490666667,1.51,1.245666667,1.284666667,0.9773333333,0.8936666667,0.994,1.027,1.083666667,1.382333333,0.8056666667,0.9466666667,1.467,1.428666667
11:00:00,1.576333333,1.571,1.127,1.207333333,0.7373333333,0.8016666667,1.254333333,1.414333333,1.156,1.313,1.498333333,1.518333333,1.277666667,1.317,1.001,0.919,1.030666667,1.055,1.117,1.404,0.845,0.9926666667,1.504666667,1.455333333
11:15:00,1.585,1.576,1.174333333,1.252666667,0.766,0.8306666667,1.292666667,1.442333333,1.196666667,1.361333333,1.506666667,1.524333333,1.31,1.345,1.033333333,0.944,1.068,1.085,1.157333333,1.434,0.8896666667,1.020333333,1.525666667,1.474333333
11:30:00,1.583333333,1.580333333,1.216666667,1.300666667,0.798,0.8593333333,1.321,1.473666667,1.234,1.405333333,1.521,1.531,1.34,1.383,1.068333333,0.9723333333,1.103333333,1.116666667,1.191,1.457666667,0.935,1.054333333,1.533,1.496666667
11:45:00,1.589333333,1.584,1.263666667,1.344,0.829,0.8846666667,1.355333333,1.497,1.289333333,1.439333333,1.513333333,1.534,1.372333333,1.408,1.094666667,0.9973333333,1.140333333,1.153,1.223333333,1.48,0.981,1.091333333,1.530666667,1.511
12:00:00,1.591666667,1.586666667,1.301,1.383666667,0.861,0.9183333333,1.388333333,1.523333333,1.326,1.468666667,1.527333333,1.537666667,1.398333333,1.441,1.128666667,1.023666667,1.18,1.184666667,1.261,1.497,1.024666667,1.134,1.54,1.524333333
12:15:00,1.584,1.584333333,1.346,1.421333333,0.8876666667,0.9486666667,1.428333333,1.538333333,1.352666667,1.492333333,1.532666667,1.536333333,1.428,1.460666667,1.146333333,1.051,1.225333333,1.220333333,1.294,1.507,1.064,1.172333333,1.548,1.54
12:30:00,1.584666667,1.589,1.382666667,1.464333333,0.919,0.9766666667,1.447666667,1.543,1.397,1.519333333,1.522333333,1.541,1.449666667,1.483,1.163666667,1.075666667,1.257666667,1.254,1.327,1.524333333,1.105,1.196333333,1.543666667,1.545
12:45:00,1.584666667,1.587666667,1.422,1.495666667,0.9506666667,1.008,1.470333333,1.555333333,1.410666667,1.529,1.526,1.544666667,1.468666667,1.503666667,1.198333333,1.096,1.290666667,1.293,1.357666667,1.526666667,1.144,1.235666667,1.552,1.546333333
13:00:00,1.586,1.587666667,1.453,1.529,0.9846666667,1.034333333,1.486333333,1.563333333,1.436,1.54,1.526,1.545333333,1.475666667,1.515666667,1.224,1.122333333,1.329,1.323333333,1.380666667,1.540666667,1.187,1.271333333,1.553,1.552666667
13:15:00,1.586333333,1.586,1.485333333,1.550333333,1.012,1.064333333,1.503666667,1.570666667,1.449666667,1.55,1.525333333,1.544333333,1.492,1.518333333,1.237333333,1.149,1.356333333,1.357,1.408666667,1.546666667,1.227,1.299666667,1.552666667,1.555666667
13:30:00,1.589666667,1.584333333,1.503666667,1.565666667,1.044,1.094333333,1.511666667,1.572,1.450666667,1.554,1.541,1.544333333,1.502,1.525333333,1.266,1.165,1.389,1.389666667,1.437666667,1.536666667,1.262666667,1.328,1.555666667,1.556333333
13:45:00,1.579333333,1.581333333,1.528333333,1.58,1.075333333,1.124333333,1.523,1.573666667,1.457,1.556333333,1.522666667,1.548,1.516666667,1.541,1.289333333,1.186666667,1.41,1.420666667,1.460666667,1.540666667,1.297333333,1.362,1.557,1.552333333
14:00:00,1.588,1.583666667,1.543333333,1.596333333,1.106333333,1.152666667,1.525333333,1.574,1.462666667,1.560333333,1.526333333,1.549333333,1.516666667,1.535666667,1.314333333,1.209333333,1.429333333,1.439333333,1.474666667,1.548,1.334666667,1.386666667,1.555,1.559
14:15:00,1.580666667,1.580666667,1.55,1.603666667,1.138333333,1.181333333,1.528666667,1.578,1.463333333,1.561666667,1.531333333,1.551666667,1.514666667,1.547666667,1.341333333,1.234666667,1.446666667,1.465666667,1.491666667,1.549,1.367,1.417666667,1.555666667,1.558666667
14:30:00,1.581333333,1.58,1.56,1.608333333,1.169333333,1.211,1.539,1.581666667,1.458333333,1.559,1.536666667,1.546666667,1.523333333,1.541333333,1.357,1.254,1.454666667,1.476666667,1.493,1.543666667,1.404333333,1.453666667,1.562,1.559333333
14:45:00,1.585333333,1.578666667,1.563666667,1.609,1.204333333,1.242,1.538,1.577,1.459666667,1.560333333,1.540666667,1.553666667,1.526666667,1.550666667,1.374666667,1.279666667,1.462666667,1.492333333,1.501666667,1.544333333,1.426,1.478333333,1.560333333,1.568666667
15:00:00,1.578666667,1.578333333,1.568333333,1.616666667,1.232,1.268,1.542333333,1.576,1.464,1.564666667,1.533666667,1.546666667,1.530666667,1.550666667,1.395,1.305333333,1.471333333,1.498333333,1.502333333,1.549,1.446333333,1.499,1.56,1.57
15:15:00,1.579,1.578,1.568,1.614666667,1.266333333,1.294333333,1.533333333,1.574666667,1.470333333,1.561666667,1.531,1.551666667,1.529,1.551333333,1.423666667,1.323333333,1.473666667,1.508333333,1.504333333,1.540333333,1.464,1.521333333,1.556,1.570666667
15:30:00,1.581666667,1.575666667,1.572,1.613333333,1.283,1.32,1.538333333,1.574666667,1.472333333,1.563,1.526666667,1.551666667,1.536666667,1.548666667,1.44,1.341666667,1.480333333,1.513666667,1.507333333,1.541666667,1.471333333,1.537666667,1.555,1.572666667
15:45:00,1.582333333,1.577,1.569,1.619333333,1.311,1.340333333,1.537,1.576333333,1.473666667,1.558333333,1.525,1.547666667,1.532333333,1.554666667,1.467666667,1.363,1.485,1.514,1.511,1.546333333,1.477666667,1.548,1.559,1.569333333
16:00:00,1.576,1.574666667,1.571333333,1.614,1.335,1.365666667,1.533666667,1.576,1.474666667,1.559666667,1.527,1.553666667,1.531333333,1.553,1.489333333,1.384333333,1.487,1.518666667,1.507333333,1.537666667,1.487,1.557666667,1.556666667,1.57